Running command - ./utils/repeat_cmd.sh ./build/context_switch_kthreads 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/context_switch_kthreads 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	8034
2	    	8025
3	    	7704
4	    	7858
5	    	8012
6	    	8638
7	    	7988
8	    	7800
9	    	8112
10	    	7882
11	    	7938
12	    	8066
13	    	7997
14	    	8023
15	    	10301
16	    	10013
17	    	9846
18	    	9113
19	    	7911
20	    	7882
21	    	7930
22	    	7787
23	    	7971
24	    	7864
25	    	7772
26	    	7951
27	    	7675
28	    	8025
29	    	7889
30	    	7666
31	    	8176
32	    	7892
33	    	7959
34	    	7838
35	    	7744
36	    	7935
37	    	7822
38	    	7982
39	    	7854
40	    	10179
41	    	9736
42	    	9782
43	    	9168
44	    	7921
45	    	7981
46	    	8304
47	    	8089
48	    	7769
49	    	8059
50	    	7810
51	    	7852
52	    	7993
53	    	9385
54	    	8138
55	    	7630
56	    	7768
57	    	8271
58	    	7681
59	    	7973
60	    	7766
61	    	8053
62	    	7972
63	    	7780
64	    	8086
65	    	7627
66	    	7872
67	    	10969
68	    	12198
69	    	8734
70	    	7956
71	    	7877
72	    	7691
73	    	8149
74	    	7777
75	    	8181
76	    	7881
77	    	8587
78	    	7748
79	    	8580
80	    	7886
81	    	7846
82	    	8026
83	    	7852
84	    	7814
85	    	8369
86	    	7778
87	    	8069
88	    	7877
89	    	7946
90	    	7679
91	    	8173
92	    	12376
93	    	7988
94	    	7979
95	    	7800
96	    	8023
97	    	7875
98	    	7934
99	    	7964
100	    	8721
Median:7961.00
Average:8238.23
===================================================================
