Running command - ./utils/repeat_cmd.sh ./build/context_switch_processes 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/context_switch_processes 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	10734
2	    	9988
3	    	9368
4	    	9067
5	    	8924
6	    	8833
7	    	8687
8	    	9155
9	    	8597
10	    	9314
11	    	8813
12	    	8915
13	    	8691
14	    	8966
15	    	8536
16	    	8999
17	    	8837
18	    	8687
19	    	8747
20	    	12163
21	    	12227
22	    	10131
23	    	8739
24	    	8834
25	    	8786
26	    	8975
27	    	8940
28	    	8830
29	    	9076
30	    	8069
31	    	9133
32	    	8414
33	    	9431
34	    	8116
35	    	9128
36	    	8538
37	    	8663
38	    	8178
39	    	8959
40	    	9279
41	    	9060
42	    	8705
43	    	8222
44	    	8347
45	    	11534
46	    	11151
47	    	10827
48	    	10519
49	    	8133
50	    	9111
51	    	8553
52	    	9157
53	    	9030
54	    	9727
55	    	8674
56	    	8599
57	    	8797
58	    	8638
59	    	9043
60	    	8558
61	    	9061
62	    	8404
63	    	9437
64	    	9202
65	    	9928
66	    	10100
67	    	8653
68	    	8925
69	    	12754
70	    	10495
71	    	11049
72	    	8800
73	    	8337
74	    	8671
75	    	8710
76	    	8816
77	    	8719
78	    	8860
79	    	9439
80	    	8523
81	    	8498
82	    	9045
83	    	9053
84	    	8502
85	    	8313
86	    	8976
87	    	8364
88	    	9004
89	    	8644
90	    	9313
91	    	8294
92	    	8705
93	    	8706
94	    	11546
95	    	11755
96	    	11219
97	    	9463
98	    	8972
99	    	8773
100	    	8960
Median:8924.00
Average:9198.40
===================================================================
