Running command - ./utils/repeat_cmd.sh ./build/loop_overhead 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/loop_overhead 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	7
2	    	6
3	    	6
4	    	6
5	    	6
6	    	6
7	    	6
8	    	5
9	    	6
10	    	6
11	    	5
12	    	6
13	    	6
14	    	6
15	    	5
16	    	6
17	    	8
18	    	6
19	    	6
20	    	6
21	    	6
22	    	5
23	    	6
24	    	6
25	    	6
26	    	6
27	    	6
28	    	8
29	    	6
30	    	6
31	    	6
32	    	6
33	    	6
34	    	6
35	    	7
36	    	5
37	    	5
38	    	6
39	    	6
40	    	5
41	    	6
42	    	5
43	    	6
44	    	6
45	    	15
46	    	6
47	    	6
48	    	6
49	    	6
50	    	6
51	    	6
52	    	6
53	    	6
54	    	6
55	    	5
56	    	6
57	    	6
58	    	5
59	    	5
60	    	5
61	    	12
62	    	6
63	    	6
64	    	6
65	    	6
66	    	6
67	    	6
68	    	6
69	    	5
70	    	6
71	    	5
72	    	6
73	    	6
74	    	6
75	    	6
76	    	6
77	    	5
78	    	6
79	    	6
80	    	6
81	    	9
82	    	6
83	    	6
84	    	6
85	    	6
86	    	6
87	    	6
88	    	6
89	    	6
90	    	6
91	    	6
92	    	6
93	    	8
94	    	6
95	    	14
96	    	5
97	    	6
98	    	10
99	    	5
100	    	12
Median:6.00
Average:6.27
===================================================================
