Running command - ./utils/repeat_cmd.sh ./build/measurement_overhead 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/measurement_overhead 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	32
2	    	32
3	    	32
4	    	32
5	    	32
6	    	32
7	    	32
8	    	32
9	    	32
10	    	32
11	    	32
12	    	32
13	    	32
14	    	32
15	    	32
16	    	32
17	    	32
18	    	32
19	    	32
20	    	32
21	    	32
22	    	32
23	    	32
24	    	32
25	    	32
26	    	32
27	    	32
28	    	32
29	    	32
30	    	32
31	    	32
32	    	32
33	    	32
34	    	32
35	    	32
36	    	32
37	    	32
38	    	32
39	    	32
40	    	32
41	    	32
42	    	32
43	    	32
44	    	32
45	    	32
46	    	32
47	    	32
48	    	32
49	    	32
50	    	32
51	    	32
52	    	32
53	    	32
54	    	32
55	    	32
56	    	32
57	    	32
58	    	32
59	    	32
60	    	32
61	    	32
62	    	44
63	    	32
64	    	32
65	    	32
66	    	32
67	    	32
68	    	32
69	    	32
70	    	32
71	    	32
72	    	32
73	    	32
74	    	32
75	    	32
76	    	32
77	    	32
78	    	32
79	    	32
80	    	32
81	    	32
82	    	32
83	    	32
84	    	32
85	    	32
86	    	32
87	    	32
88	    	32
89	    	32
90	    	32
91	    	32
92	    	32
93	    	32
94	    	32
95	    	32
96	    	32
97	    	32
98	    	32
99	    	32
100	    	32
Median:32.00
Average:32.12
===================================================================
