Running command - ./utils/repeat_cmd.sh ./build/system_call 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/system_call 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	822
2	    	1558
3	    	1283
4	    	1334
5	    	1858
6	    	1124
7	    	1814
8	    	1250
9	    	1503
10	    	1624
11	    	3160
12	    	1740
13	    	2173
14	    	2131
15	    	1701
16	    	1062
17	    	1599
18	    	1262
19	    	1456
20	    	1635
21	    	1743
22	    	1850
23	    	1328
24	    	2108
25	    	1362
26	    	1247
27	    	2074
28	    	1246
29	    	1498
30	    	1590
31	    	1282
32	    	1089
33	    	953
34	    	1866
35	    	1265
36	    	1246
37	    	1298
38	    	1087
39	    	1830
40	    	1712
41	    	1216
42	    	2071
43	    	1537
44	    	1012
45	    	1333
46	    	1840
47	    	1860
48	    	843
49	    	1168
50	    	1861
51	    	1270
52	    	2284
53	    	1150
54	    	1248
55	    	1294
56	    	2589
57	    	1167
58	    	2784
59	    	1244
60	    	2419
61	    	1959
62	    	2076
63	    	1602
64	    	1374
65	    	1598
66	    	1070
67	    	1912
68	    	1509
69	    	1214
70	    	1455
71	    	1552
72	    	2362
73	    	1416
74	    	1647
75	    	984
76	    	1250
77	    	1353
78	    	1445
79	    	1425
80	    	1713
81	    	2159
82	    	1626
83	    	1266
84	    	1378
85	    	1635
86	    	2281
87	    	1358
88	    	1195
89	    	1715
90	    	968
91	    	1341
92	    	1272
93	    	1312
94	    	1659
95	    	1258
96	    	1257
97	    	1622
98	    	2116
99	    	1593
100	    	1936
Median:1477.00
Average:1558.16
===================================================================
