Running command - ./utils/repeat_cmd.sh ./build/page_fault_time 100
Currently in /Users/gigaflower/Desktop/CSE221_project
Running ./build/page_fault_time 100 times to get the median & average.

S.No.           Av time (in cycles)
===================================================================
1           0.224002
2           0.169119
3           0.174072
4           0.175628
5           0.169840
6           0.176944
7           0.156063
8           0.164616
9           0.180314
10          0.168704
11          0.183260
12          0.149370
13          0.172958
14          0.166305
15          0.204987
16          0.174448
17          0.200836
18          0.168265
19          0.154292
20          0.155134
21          0.166629
22          0.157310
23          0.162937
24          0.161261
25          0.169069
26          0.172597
27          0.203944
28          0.180342
29          0.191316
30          0.162947
31          0.155026
32          0.210477
33          0.180030
34          0.276503
35          0.231797
36          0.180077
37          0.164314
38          0.157461
39          0.179924
40          0.172120
41          0.172696
42          0.167062
43          0.160578
44          0.157390
45          0.156760
46          0.174104
47          0.170213
48          0.166748
49          0.160302
50          0.168177
51          0.158400
52          0.165653
53          0.160764
54          0.161148
55          0.181944
56          0.182839
57          0.175257
58          0.166504
59          0.156174
60          0.159268
61          0.177212
62          0.199039
63          0.166340
64          0.172615
65          0.177934
66          0.156683
67          0.202178
68          0.154402
69          0.209072
70          0.165317
71          0.185955
72          0.166677
73          0.185091
74          0.186090
75          0.158231
76          0.157480
77          0.176436
78          0.171996
79          0.178557
80          0.182298
81          0.162277
82          0.176624
83          0.200882
84          0.160883
85          0.162880
86          0.181424
87          0.163378
88          0.164341
89          0.163362
90          0.159141
91          0.158819
92          0.161061
93          0.160538
94          0.152248
95          0.151176
96          0.188704
97          0.196664
98          0.176824
99          0.164228
100         0.165922
Average:0.173481
Stddev:0.0188483
===================================================================
