,Log2 (memory sizes in bytes),Memory access times (clock cycles)
1024,10,34
2048,11,34
3072,11.5849625,33.92
4096,12,33.88
5120,12.32192809,33.95
6144,12.5849625,34.21
7168,12.80735492,33.93
8192,13,33.97
9216,13.169925,34.06
10240,13.32192809,34.15
11264,13.45943162,34
12288,13.5849625,34.27
13312,13.70043972,34.29
14336,13.80735492,34.12
15360,13.9068906,34.1
16384,14,34.23
17408,14.08746284,34.16
18432,14.169925,34.22
19456,14.24792751,34.01
20480,14.32192809,34.21
21504,14.39231742,34.02
22528,14.45943162,33.95
23552,14.52356196,34.1
24576,14.5849625,34
25600,14.64385619,33.9
26624,14.70043972,34.05
27648,14.7548875,34.12
28672,14.80735492,34.21
29696,14.857981,35.27
30720,14.9068906,34.4
31744,14.95419631,34.56
32768,15,35.08
33792,15.04439412,37.65
34816,15.08746284,35.53
35840,15.12928302,35.91
36864,15.169925,35.25
37888,15.20945337,36.06
38912,15.24792751,35.55
39936,15.28540222,36.4
40960,15.32192809,35.72
41984,15.357552,36.69
43008,15.39231742,35.86
44032,15.42626475,36.05
45056,15.45943162,36.72
49152,15.5849625,35.98
65536,16,36.86
81920,16.32192809,36.03
98304,16.5849625,103.77
114688,16.80735492,38.91
131072,17,36.04
147456,17.169925,37.93
163840,17.32192809,41.48
180224,17.45943162,39.88
196608,17.5849625,38.52
212992,17.70043972,40.71
229376,17.80735492,51.31
245760,17.9068906,50.01
262144,18,48.66
278528,18.08746284,48.76
294912,18.169925,47
311296,18.24792751,54.62
327680,18.32192809,121.36
344064,18.39231742,53.84
360448,18.45943162,54.42
376832,18.52356196,55.67
393216,18.5849625,56.93
409600,18.64385619,54.69
425984,18.70043972,69.48
442368,18.7548875,55.32
458752,18.80735492,56.88
475136,18.857981,151.68
491520,18.9068906,58.14
507904,18.95419631,125.72
524288,19,58.71
1048576,20,76.08
2097152,21,215.84
3145728,21.5849625,286.85
4194304,22,310.93
5242880,22.32192809,520.15
6291456,22.5849625,354.64
7340032,22.80735492,240.99
8388608,23,343.71
9437184,23.169925,359.09
10485760,23.32192809,342.03
11534336,23.45943162,258.84
12582912,23.5849625,303.01
13631488,23.70043972,329.89
14680064,23.80735492,462.9
15728640,23.9068906,325.38
16777216,24,283.34
17825792,24.08746284,263.98
18874368,24.169925,410.18
19922944,24.24792751,295.46
20971520,24.32192809,388.44
22020096,24.39231742,379.18
23068672,24.45943162,297.15
24117248,24.52356196,322.75
25165824,24.5849625,327.98
26214400,24.64385619,338.09
27262976,24.70043972,367.35
28311552,24.7548875,302.88
29360128,24.80735492,300.96
30408704,24.857981,334.52
31457280,24.9068906,292.66
32505856,24.95419631,302.9
33554432,25,305.26
67108864,26,326.1
