set_nice: pid = 10461, old_priority = 0, new_priority = -20
total_linked_list_nodes:16/16, mem_size:1024B, averageAccessTime:34.00 cycles
total_linked_list_nodes:32/32, mem_size:2048B, averageAccessTime:34.00 cycles
total_linked_list_nodes:48/48, mem_size:3072B, averageAccessTime:33.92 cycles
total_linked_list_nodes:64/64, mem_size:4096B, averageAccessTime:33.88 cycles
total_linked_list_nodes:80/80, mem_size:5120B, averageAccessTime:33.95 cycles
total_linked_list_nodes:96/96, mem_size:6144B, averageAccessTime:34.21 cycles
total_linked_list_nodes:112/112, mem_size:7168B, averageAccessTime:33.93 cycles
total_linked_list_nodes:128/128, mem_size:8192B, averageAccessTime:33.97 cycles
total_linked_list_nodes:144/144, mem_size:9216B, averageAccessTime:34.06 cycles
total_linked_list_nodes:160/160, mem_size:10240B, averageAccessTime:34.15 cycles
total_linked_list_nodes:176/176, mem_size:11264B, averageAccessTime:34.00 cycles
total_linked_list_nodes:192/192, mem_size:12288B, averageAccessTime:34.27 cycles
total_linked_list_nodes:208/208, mem_size:13312B, averageAccessTime:34.29 cycles
total_linked_list_nodes:224/224, mem_size:14336B, averageAccessTime:34.12 cycles
total_linked_list_nodes:240/240, mem_size:15360B, averageAccessTime:34.10 cycles
total_linked_list_nodes:256/256, mem_size:16384B, averageAccessTime:34.23 cycles
total_linked_list_nodes:272/272, mem_size:17408B, averageAccessTime:34.16 cycles
total_linked_list_nodes:288/288, mem_size:18432B, averageAccessTime:34.22 cycles
total_linked_list_nodes:304/304, mem_size:19456B, averageAccessTime:34.01 cycles
total_linked_list_nodes:320/320, mem_size:20480B, averageAccessTime:34.21 cycles
total_linked_list_nodes:336/336, mem_size:21504B, averageAccessTime:34.02 cycles
total_linked_list_nodes:352/352, mem_size:22528B, averageAccessTime:33.95 cycles
total_linked_list_nodes:368/368, mem_size:23552B, averageAccessTime:34.10 cycles
total_linked_list_nodes:384/384, mem_size:24576B, averageAccessTime:34.00 cycles
total_linked_list_nodes:400/400, mem_size:25600B, averageAccessTime:33.90 cycles
