Running ./build/ram_access_time 100 times

read (GB/s), write(GB/s)
12.73133, 7.25547
12.48111, 9.91315
14.05943, 10.12170
12.47355, 7.40259
12.21563, 9.97109
14.45906, 10.07415
12.30270, 9.52056
12.98106, 9.89698
12.43640, 9.44137
11.97929, 9.72044
13.86668, 9.70214
14.14262, 9.75702
14.26117, 9.58790
12.35586, 9.48477
12.91071, 9.57638
13.91056, 9.75139
13.80824, 9.91532
13.31775, 9.99121
12.87973, 9.40147
13.46637, 10.20689
12.84506, 9.92969
14.34551, 8.80994
12.42866, 9.91584
13.23126, 9.58496
14.42598, 9.23826
14.80914, 9.71795
14.17168, 9.81290
12.75952, 10.04384
14.63013, 9.15772
10.10152, 9.84899
9.27318, 9.77261
15.40148, 7.87098
9.89146, 8.70666
9.20352, 10.07108
4.29002, 10.27994
9.13376, 10.13156
9.02839, 9.42294
10.21849, 10.00612
12.03656, 9.88792
12.30945, 8.23423
10.19106, 9.65874
10.97322, 9.80227
10.12126, 10.15762
9.19867, 9.73519
9.07276, 10.12147
8.93945, 9.50231
10.84813, 9.75632
9.42249, 9.33529
9.77909, 9.78910
12.00521, 10.19347
11.04083, 10.29175
8.96829, 9.84196
9.10607, 9.69979
12.07619, 9.64626
10.23540, 10.12509
8.65022, 9.82284
9.08580, 9.89356
10.80741, 7.53652
11.60148, 9.75456
10.74650, 2.26596
9.36438, 10.19204
11.89989, 8.77142
9.55664, 9.80511
10.77495, 9.89574
9.98400, 9.89183
11.62881, 9.88316
12.23281, 9.77887
9.02107, 9.68508
10.83666, 9.40230
11.19539, 9.87343
11.22260, 9.92690
8.95585, 9.52863
9.82443, 9.84393
10.79265, 9.61361
10.19530, 9.78420
9.34461, 10.11615
13.52285, 9.17318
9.45479, 9.50242
9.50765, 9.36187
10.65705, 9.82084
10.11806, 10.32560
9.42610, 9.67663
10.40749, 9.64579
11.85883, 9.70263
10.17910, 8.74444
10.15864, 9.66838
9.81876, 9.90897
10.74529, 9.71614
12.83047, 9.87680
9.29098, 9.52963
9.84565, 6.97120
9.51619, 9.31827
11.88860, 9.53830
9.42361, 9.90526
12.04585, 10.23751
10.91555, 9.48644
9.25808, 9.78116
13.72144, 8.91969
9.23287, 9.62695
10.65884, 9.98215
===================================================================
Median: 10.84240, 9.75544  
Avg:    11.21756, 9.52479
Stddev: 1.91151, 0.96299
