Running command - ./utils/repeat_cmd.sh ./build/connection_overhead_setup 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/connection_overhead_setup 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	64453016
2	    	39087458
3	    	15971168
4	    	17288937
5	    	21040953
6	    	16919397
7	    	19360024
8	    	17728050
9	    	18508000
10	    	18168100
11	    	62436125
12	    	43177036
13	    	16080838
14	    	16343619
15	    	16560592
16	    	17491282
17	    	16740163
18	    	16042966
19	    	17450640
20	    	15579778
21	    	16257371
22	    	61939785
23	    	43121979
24	    	15989799
25	    	16288911
26	    	15949535
27	    	16746497
28	    	16103665
29	    	17212640
30	    	16737406
31	    	16183802
32	    	15892523
33	    	16964945
34	    	15037348
35	    	16116086
36	    	16036668
37	    	16585721
38	    	17666981
39	    	17075569
40	    	16584582
41	    	17253918
42	    	16638638
43	    	15867557
44	    	17785703
45	    	17447266
46	    	16617149
47	    	17995710
48	    	18417363
49	    	19363487
50	    	17031576
51	    	16768954
52	    	21225136
53	    	17463801
54	    	18251579
55	    	18212766
56	    	16355004
57	    	17654137
58	    	17525314
59	    	17924211
60	    	18321650
61	    	16747719
62	    	16592284
63	    	17382605
64	    	17274514
65	    	16754366
66	    	17115122
67	    	16040541
68	    	17074204
69	    	16436484
70	    	15867583
71	    	16498649
72	    	15942566
73	    	16322272
74	    	16779347
75	    	17542593
76	    	17299076
77	    	16881617
78	    	16845855
79	    	17829224
80	    	17257656
81	    	17632372
82	    	17605288
83	    	18001078
84	    	18322556
85	    	17275892
86	    	16273086
87	    	19049549
88	    	18115036
89	    	16614439
90	    	17959195
91	    	17192847
92	    	16867078
93	    	16340269
94	    	18272231
95	    	16864247
96	    	17400994
97	    	16087277
98	    	18526385
99	    	17272311
100	    	16993303
Median:17095345.00
Average:19261905.84
===================================================================
