[Frodo:cse_221/project/CSE221_project] rohitgupta% traceroute 192.168.43.225
traceroute to 192.168.43.225 (192.168.43.225), 64 hops max, 52 byte packets
 1  gigaflw-13ef (192.168.43.225)  98.606 ms  6.585 ms  7.072 ms

 

Running command - ./utils/repeat_cmd.sh ./build/connection_overhead_teardown 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/connection_overhead_teardown 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	88719
2	    	88412
3	    	90603
4	    	97776
5	    	90000
6	    	88972
7	    	86910
8	    	86150
9	    	96896
10	    	91599
11	    	90241
12	    	98957
13	    	92385
14	    	92995
15	    	86033
16	    	93287
17	    	88449
18	    	82865
19	    	81924
20	    	85577
21	    	91596
22	    	86370
23	    	93811
24	    	90381
25	    	97923
26	    	90029
27	    	87608
28	    	88417
29	    	81728
30	    	96971
31	    	96076
32	    	88643
33	    	92912
34	    	92098
35	    	84472
36	    	88697
37	    	92364
38	    	91243
39	    	84517
40	    	99780
41	    	99414
42	    	98727
43	    	111030
44	    	87978
45	    	98301
46	    	96304
47	    	94588
48	    	92130
49	    	91822
50	    	114013
51	    	90467
52	    	87734
53	    	96293
54	    	79824
55	    	90921
56	    	97236
57	    	90194
58	    	91754
59	    	120689
60	    	89740
61	    	92454
62	    	132407
63	    	167766
64	    	87299
65	    	95638
66	    	88426
67	    	102799
68	    	89127
69	    	91209
70	    	106000
71	    	84940
72	    	113590
73	    	90148
74	    	85569
75	    	82005
76	    	83994
77	    	93481
78	    	89346
79	    	86892
80	    	81687
81	    	84748
82	    	91607
83	    	86413
84	    	92012
85	    	86153
86	    	87335
87	    	118085
88	    	100206
89	    	99161
90	    	116216
91	    	96248
92	    	93713
93	    	106997
94	    	81094
95	    	87067
96	    	103667
97	    	96622
98	    	91300
99	    	94471
100	    	92691
Median:91448.00
Average:93841.28
===================================================================
