Running command - ./utils/repeat_cmd.sh ./build/connection_overhead_setup 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/connection_overhead_setup 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	232648
2	    	242724
3	    	228711
4	    	243039
5	    	259798
6	    	238649
7	    	249416
8	    	241034
9	    	245344
10	    	717179
11	    	438596
12	    	331234
13	    	484346
14	    	244654
15	    	304073
16	    	402048
17	    	1012389
18	    	295195
19	    	246032
20	    	250763
21	    	367938
22	    	453942
23	    	326352
24	    	306591
25	    	262641
26	    	557158
27	    	247653
28	    	330180
29	    	441454
30	    	255489
31	    	635097
32	    	251199
33	    	315511
34	    	280998
35	    	813379
36	    	505416
37	    	722995
38	    	766892
39	    	364448
40	    	693183
41	    	662224
42	    	378829
43	    	2951780
44	    	261442
45	    	2935303
46	    	242774
47	    	599384
48	    	202439
49	    	423221
50	    	509212
51	    	503220
52	    	273602
53	    	507308
54	    	235370
55	    	3268581
56	    	250886
57	    	372192
58	    	399590
59	    	1512136
60	    	368126
61	    	1526287
62	    	233471
63	    	271948
64	    	277843
65	    	1047670
66	    	720271
67	    	1187404
68	    	781831
69	    	1577634
70	    	490991
71	    	664770
72	    	699300
73	    	567043
74	    	589908
75	    	296880
76	    	563219
77	    	286443
78	    	719607
79	    	344345
80	    	310176
81	    	394482
82	    	723300
83	    	2443387
84	    	267483
85	    	322236
86	    	419478
87	    	655416
88	    	257018
89	    	269135
90	    	303936
91	    	3157637
92	    	302987
93	    	626003
94	    	1249124
95	    	777349
96	    	3562310
97	    	305946
98	    	392638
99	    	347600
100	    	761829
Median:385733.00
Average:633603.42
===================================================================
