Running command - ./utils/repeat_cmd.sh ./build/connection_overhead_teardown 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/connection_overhead_teardown 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	57553
2	    	25154
3	    	32060
4	    	52793
5	    	66761
6	    	57480
7	    	26410
8	    	27424
9	    	47663
10	    	26246
11	    	34967
12	    	35249
13	    	64033
14	    	30561
15	    	28134
16	    	28598
17	    	65834
18	    	24135
19	    	42680
20	    	54547
21	    	28898
22	    	80670
23	    	33315
24	    	67726
25	    	61859
26	    	72251
27	    	82131
28	    	25220
29	    	21617
30	    	45118
31	    	72589
32	    	39926
33	    	29954
34	    	54930
35	    	24298
36	    	45890
37	    	51893
38	    	104960
39	    	39383
40	    	25284
41	    	182604
42	    	36591
43	    	71747
44	    	31278
45	    	81768
46	    	28413
47	    	40844
48	    	28529
49	    	51023
50	    	25956
51	    	32108
52	    	60619
53	    	44852
54	    	80516
55	    	26602
56	    	32555
57	    	27354
58	    	41035
59	    	92905
60	    	30335
61	    	58937
62	    	42208
63	    	61597
64	    	84574
65	    	53085
66	    	57949
67	    	38219
68	    	27926
69	    	21768
70	    	33306
71	    	65899
72	    	29495
73	    	72731
74	    	53127
75	    	27153
76	    	27798
77	    	24777
78	    	39771
79	    	40357
80	    	71827
81	    	51595
82	    	34849
83	    	53281
84	    	63072
85	    	50208
86	    	45416
87	    	47720
88	    	55078
89	    	85937
90	    	27987
91	    	29446
92	    	32078
93	    	70978
94	    	31166
95	    	27402
96	    	40149
97	    	53532
98	    	26809
99	    	28802
100	    	66704
Median:40939.00
Average:47385.41
===================================================================
