Running command - ./utils/repeat_cmd.sh ./build/connection_overhead_setup_remote 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/connection_overhead_setup_remote 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	46447850
2	    	15581036
3	    	14879731
4	    	13899848
5	    	14086269
6	    	14448647
7	    	14669529
8	    	14213613
9	    	16981387
10	    	15340094
11	    	14478976
12	    	13041582
13	    	16116611
14	    	15291526
15	    	14409452
16	    	15217411
17	    	15312236
18	    	14369343
19	    	14225077
20	    	15160932
21	    	12983776
22	    	14304053
23	    	14633368
24	    	13795367
25	    	13989202
26	    	14805827
27	    	15276402
28	    	15166357
29	    	14260104
30	    	14062132
31	    	13901968
32	    	41814198
33	    	14022301
34	    	13519729
35	    	15071591
36	    	15540608
37	    	14062751
38	    	42572558
39	    	20354694
40	    	14674118
41	    	15279675
42	    	12993815
43	    	13550097
44	    	13688113
45	    	13061189
46	    	13444690
47	    	13087333
48	    	14051545
49	    	14923813
50	    	13034200
51	    	13027049
52	    	14056717
53	    	13103644
54	    	13060364
55	    	12853365
56	    	13937839
57	    	14805522
58	    	15040562
59	    	15049846
60	    	16416708
61	    	14171424
62	    	41027844
63	    	15824831
64	    	14410821
65	    	16712349
66	    	13917768
67	    	15031507
68	    	17074154
69	    	15766614
70	    	15671665
71	    	15381794
72	    	14429790
73	    	14679354
74	    	16278425
75	    	14148290
76	    	15075398
77	    	15173089
78	    	14204376
79	    	14360995
80	    	14530760
81	    	15974084
82	    	15500038
83	    	16727314
84	    	15533136
85	    	14084206
86	    	16051422
87	    	17039514
88	    	17758541
89	    	15389593
90	    	15866708
91	    	14712320
92	    	13819964
93	    	15353516
94	    	15068823
95	    	15300987
96	    	14222403
97	    	14032489
98	    	13261096
99	    	14947919
100	    	13770351
Median:14676736.00
Average:15877340.12
===================================================================
