Running command - ./utils/repeat_cmd.sh ./build/connection_overhead_teardow_remote 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/connection_overhead_teardow_remote 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	97827
2	    	85382
3	    	86820
4	    	85254
5	    	85255
6	    	91226
7	    	79303
8	    	87336
9	    	83333
10	    	90303
11	    	95101
12	    	93083
13	    	86051
14	    	93863
15	    	81156
16	    	80631
17	    	90217
18	    	92198
19	    	83934
20	    	82505
21	    	84556
22	    	85818
23	    	79308
24	    	87560
25	    	83763
26	    	83463
27	    	82929
28	    	96022
29	    	98291
30	    	88491
31	    	94559
32	    	80885
33	    	77927
34	    	78183
35	    	65127
36	    	52792
37	    	68802
38	    	77845
39	    	83560
40	    	86865
41	    	101535
42	    	80725
43	    	85362
44	    	80384
45	    	83941
46	    	81238
47	    	78785
48	    	88874
49	    	87372
50	    	92549
51	    	82899
52	    	85064
53	    	73806
54	    	88908
55	    	78171
56	    	84275
57	    	82366
58	    	87377
59	    	81367
60	    	81573
61	    	83417
62	    	79921
63	    	85666
64	    	90366
65	    	93133
66	    	87773
67	    	79598
68	    	79021
69	    	82387
70	    	74454
71	    	86781
72	    	93292
73	    	81766
74	    	83251
75	    	82404
76	    	74641
77	    	85190
78	    	91643
79	    	86096
80	    	86764
81	    	88156
82	    	76024
83	    	77945
84	    	94988
85	    	79330
86	    	75366
87	    	81021
88	    	79923
89	    	85332
90	    	87263
91	    	76840
92	    	80758
93	    	85858
94	    	82867
95	    	82285
96	    	71629
97	    	87700
98	    	79105
99	    	86123
100	    	70508
Median:83848.00
Average:83906.80
===================================================================
