➜  CSE221_project git:(master) ✗ build/peak_bandwidth
data received (Bytes), time used (cycles)
0, N/A
4096, 8610
8192, 13497
12288, 21753
16384, 35724
20480, 49158
24576, 55164
28672, 61803
32768, 66447
36864, 70797
40960, 75279
45056, 88464
49152, 100416
53248, 108693
57344, 112884
61440, 118677
65536, 123426
69632, 127545
73728, 131922
77824, 137508
81920, 142341
86016, 146745
90112, 151005
94208, 156933
98304, 161451
102400, 166086
106496, 170691
110592, 177111
114688, 181812
118784, 186207
122880, 199227
126976, 206667
131072, 215055
135168, 220065
139264, 224388
143360, 230913
147456, 235443
151552, 239970
155648, 248607
159744, 259533
163840, 264366
167936, 268977
172032, 273087
176128, 279357
180224, 283782
184320, 288336
188416, 297972
192512, 304908
196608, 309444
200704, 313830
204800, 320517
208896, 329733
212992, 337035
217088, 343011
221184, 349047
225280, 355392
229376, 359955
233472, 365871
237568, 370848
241664, 376536
245760, 380541
249856, 384801
253952, 387834
258048, 391833
262144, 395865
266240, 400191
270336, 404574
274432, 420126
278528, 427374
282624, 435555
286720, 450690
290816, 457218
294912, 464616
299008, 471264
303104, 475494
307200, 479616
311296, 483888
315392, 491142
319488, 495579
323584, 500256
327680, 504732
331776, 517836
335872, 527244
339968, 535230
344064, 539802
348160, 546543
352256, 554160
356352, 561570
360448, 565890
364544, 571806
368640, 575985
372736, 580410
376832, 585081
380928, 591516
385024, 596538
389120, 600822
393216, 605748
397312, 611946
401408, 616746
405504, 621447
409600, 631677
413696, 646659
417792, 651717
421888, 656343
425984, 660927
430080, 673647
434176, 683118
438272, 687654
442368, 691860
446464, 699090
450560, 704349
454656, 712884
458752, 720225
462848, 731334
466944, 736449
471040, 742956
475136, 747366
479232, 752079
483328, 756615
487424, 764697
491520, 769506
495616, 776814
499712, 790935
503808, 805344
507904, 817962
512000, 826632
516096, 834786
520192, 844644
524288, 857277
528384, 868188
532480, 879936
536576, 886971
540672, 893817
544768, 906852
548864, 916362
552960, 935190
557056, 947325
561152, 957105
565248, 964203
569344, 972222
573440, 977025
577536, 982152
581632, 986142
585728, 991893
589824, 996393
593920, 1000647
598016, 1004880
602112, 1015332
606208, 1023834
610304, 1035309
614400, 1042440
618496, 1058280
622592, 1070949
626688, 1078566
630784, 1087125
634880, 1105947
638976, 1111260
643072, 1115859
647168, 1124178
651264, 1141431
655360, 1154760
659456, 1164480
663552, 1169811
667648, 1177140
671744, 1192104
675840, 1203471
679936, 1213326
684032, 1220073
688128, 1227252
692224, 1236789
696320, 1243371
700416, 1248420
704512, 1255185
708608, 1266726
712704, 1276137
716800, 1281015
720896, 1285827
724992, 1294215
729088, 1297800
733184, 1301250
737280, 1304544
741376, 1309224
745472, 1312278
749568, 1315389
753664, 1318428
757760, 1323378
761856, 1326429
765952, 1329465
770048, 1332597
774144, 1337271
778240, 1340301
782336, 1343301
786432, 1346316
790528, 1351380
794624, 1354401
798720, 1357425
802816, 1360437
806912, 1365183
811008, 1368117
815104, 1371036
819200, 1373967
823296, 1388118
827392, 1394058
831488, 1398969
835584, 1403619
839680, 1410456
843776, 1414695
847872, 1453143
851968, 1458087
856064, 1471095
860160, 1482327
864256, 1488846
868352, 1499652
872448, 1514778
876544, 1523289
880640, 1530378
884736, 1536309
888832, 1545075
892928, 1548855
897024, 1552458
901120, 1556805
905216, 1563837
909312, 1568544
913408, 1575270
917504, 1580142
921600, 1590897
925696, 1597653
929792, 1604448
933888, 1613190
937984, 1625829
942080, 1633986
946176, 1645110
950272, 1654320
954368, 1661964
958464, 1671039
962560, 1679574
966656, 1688133
970752, 1698696
974848, 1708662
978944, 1716753
983040, 1722714
987136, 1728102
991232, 1731612
995328, 1735938
999424, 1739184
1003520, 1743609
1007616, 1746702
1011712, 1751295
1015808, 1754331
1019904, 1757988
1024000, 1760913
1028096, 1765005
1032192, 1768059
1036288, 1771959
1040384, 1774920
1044480, 1779039
1048576, 1782051
1052672, 1786089
1056768, 1789044
1060864, 1793409
1064960, 1796568
1069056, 1800744
1073152, 1803798
1077248, 1808334
1081344, 1811325
1085440, 1827270
1089536, 1831743
1093632, 1836063
1097728, 1839423
1101824, 1843098
1105920, 1846272
1110016, 1851294
1114112, 1854561
1118208, 1857546
1122304, 1860531
1126400, 1865328
1130496, 1868478
1134592, 1871616
1138688, 1874775
1142784, 1879461
1146880, 1882494
1150976, 1885887
1155072, 1889301
1159168, 1894083
1163264, 1897074
1167360, 1900134
1171456, 1903119
1175552, 1908693
1179648, 1911843
1183744, 1914951
1187840, 1918077
1191936, 1923498
1196032, 1926738
1200128, 1929909
1204224, 1933260
1208320, 1938372
1212416, 1948311
1216512, 1957917
1220608, 1965453
1224704, 1975086
1228800, 1980693
1232896, 1988067
1236992, 1994955
1241088, 2004594
1245184, 2011959
1249280, 2022432
1253376, 2026251
1257472, 2030847
1261568, 2033946
1265664, 2038590
1269760, 2043210
1273856, 2050107
1277952, 2056206
1282048, 2064408
1286144, 2071632
1290240, 2081061
1294336, 2086527
1298432, 2096613
1302528, 2103645
1306624, 2111313
1310720, 2118477
1314816, 2125407
1318912, 2132673
1323008, 2142792
1327104, 2149068
1331200, 2159154
1335296, 2168082
1339392, 2175093
1343488, 2180055
1347584, 2249826
1351680, 2265108
1355776, 2272695
1359872, 2282631
1363968, 2291562
1368064, 2300808
1372160, 2311161
1376256, 2316867
1380352, 2324616
1384448, 2331942
1388544, 2342601
1392640, 2351994
1396736, 2359251
1400832, 2365908
1404928, 2372565
1409024, 2378043
1413120, 2418876
1417216, 2429487
1421312, 2438961
1425408, 2447508
1429504, 2455134
1433600, 2462835
1437696, 2472435
1441792, 2480427
1445888, 2488662
1449984, 2496387
1454080, 2506464
1458176, 2515725
1462272, 2522538
1466368, 2529372
1470464, 2538213
1474560, 2543103
1478656, 2549067
1482752, 2552799
1486848, 2559786
1490944, 2562930
1495040, 2566056
1499136, 2569002
1503232, 2574159
1507328, 2577288
1511424, 2580423
1515520, 2583516
1519616, 2588187
1523712, 2591073
1527808, 2595177
1531904, 2598249
1536000, 2602782
1540096, 2605683
1544192, 2610048
1548288, 2613141
1552384, 2618121
1556480, 2620923
1560576, 2623818
1564672, 2626608
1568768, 2631606
1572864, 2634396
1576960, 2637309
1581056, 2640264
1585152, 2644968
1589248, 2647995
1593344, 2650947
1597440, 2653959
1601536, 2658753
1605632, 2661795
1609728, 2673654
1613824, 2678040
1617920, 2682660
1622016, 2685849
1626112, 2688903
1630208, 2691819
1634304, 2696571
1638400, 2699622
1642496, 2702475
1646592, 2705391
1650688, 2710275
1654784, 2713254
1658880, 2716497
1662976, 2719560
1667072, 2725152
1671168, 2728248
1675264, 2731389
1679360, 2734989
1683456, 2740191
1687552, 2743251
1691648, 2746311
1695744, 2749584
1699840, 2754756
1703936, 2757726
1708032, 2760759
1712128, 2764020
1716224, 2768787
1720320, 2771793
1724416, 2775033
1728512, 2778534
1732608, 2783037
1736704, 2792847
1740800, 2801283
1744896, 2810865
1748992, 2820762
1753088, 2825724
1757184, 2832735
1761280, 2841120
1765376, 2852298
1769472, 2859159
1773568, 2865042
1777664, 2872149
1781760, 2876424
1785856, 2879772
1789952, 2883036
1794048, 2888364
1798144, 2895240
1802240, 2899887
1806336, 2906874
1810432, 2915835
1814528, 2923347
1818624, 2929680
1822720, 2936154
1826816, 2944077
1830912, 2951499
1835008, 2957565
1839104, 2962746
1843200, 2971233
1847296, 2979840
1851392, 2985939
1855488, 2994603
1859584, 3001008
1863680, 3006693
1867776, 3010368
1871872, 3019422
1875968, 3024102
1880064, 3027933
1884160, 3031260
1888256, 3034212
1892352, 3037920
1896448, 3042210
1900544, 3045537
1904640, 3048684
1908736, 3052584
1912832, 3056427
1916928, 3059472
1921024, 3062331
1925120, 3065916
1929216, 3069798
1933312, 3072867
1937408, 3076176
1941504, 3080331
1945600, 3084345
1949696, 3087198
1953792, 3090183
1957888, 3094083
1961984, 3097956
1966080, 3101181
1970176, 3104481
1974272, 3110184
1978368, 3113163
1982464, 3116082
1986560, 3119097
1990656, 3123771
1994752, 3126726
1998848, 3129648
2002944, 3157872
2007040, 3167871
2011136, 3175617
2015232, 3183861
2019328, 3191775
2023424, 3203334
2027520, 3206829
2031616, 3210045
2035712, 3212913
2039808, 3217371
2043904, 3221859
2048000, 3226494
2052096, 3230793
2056192, 3239832
2060288, 3250029
2064384, 3257022
2068480, 3262293
2072576, 3271395
2076672, 3278532
2080768, 3284565
2084864, 3291645
2088960, 3300327
2093056, 3307578
2097152, 3314850
2101248, 3320025
2105344, 3329070
2109440, 3334611
2113536, 3339048
2117632, 3343218
2121728, 3347613
2125824, 3350808
2129920, 3353847
2134016, 3356904
2138112, 3361182
2142208, 3364143
2146304, 3372807
2150400, 3376359
2154496, 3381249
2158592, 3384228
2162688, 3387156
2166784, 3390084
2170880, 3394407
2174976, 3397293
2179072, 3400374
2183168, 3403179
2187264, 3408225
2191360, 3411390
2195456, 3414897
2199552, 3417849
2203648, 3422712
2207744, 3425877
2211840, 3429168
2215936, 3431991
2220032, 3436422
2224128, 3439662
2228224, 3442656
2232320, 3445545
2236416, 3450360
2240512, 3453540
2244608, 3456963
2248704, 3459957
2252800, 3464742
2256896, 3467823
2260992, 3470772
2265088, 3473889
2269184, 3478920
2273280, 3481839
2277376, 3484836
2281472, 3489324
2285568, 3496698
2289664, 3509613
2293760, 3517983
2297856, 3525861
2301952, 3535779
2306048, 3543504
2310144, 3551160
2314240, 3559077
2318336, 3570096
2322432, 3573459
2326528, 3576531
2330624, 3580050
2334720, 3586209
2338816, 3591003
2342912, 3596061
2347008, 3602253
2351104, 3611640
2355200, 3617970
2359296, 3625008
2363392, 3631578
2367488, 3639654
2371584, 3645780
2375680, 3651654
2379776, 3658263
2383872, 3669141
2387968, 3675876
2392064, 3683421
2396160, 3688383
2400256, 3695493
2404352, 3699600
2408448, 3702540
2412544, 3711213
2416640, 3715920
2420736, 3718779
2424832, 3721563
2428928, 3724374
2433024, 3728811
2437120, 3731640
2441216, 3734502
2445312, 3737259
2449408, 3741723
2453504, 3744750
2457600, 3747765
2461696, 3750681
2465792, 3755283
2469888, 3758457
2473984, 3761406
2478080, 3764358
2482176, 3769245
2486272, 3772056
2490368, 3774867
2494464, 3777702
2498560, 3782187
2502656, 3785076
2506752, 3787929
2510848, 3790770
2514944, 3795513
2519040, 3798462
2523136, 3801831
2527232, 3804753
2531328, 3809589
2535424, 3812592
2539520, 3815505
2543616, 3818364
2547712, 3822288
2551808, 3834813
2555904, 3841929
2560000, 3849093
2564096, 3858279
2568192, 3863148
2572288, 3868389
2576384, 3875661
2580480, 3886965
2584576, 3893553
2588672, 3899010
2592768, 3905370
2596864, 3909771
2600960, 3912825
2605056, 3915657
2609152, 3918771
2613248, 3925260
2617344, 3930819
2621440, 3936930
2625536, 3941895
2629632, 3950259
2633728, 3956856
2637824, 3963024
2641920, 3970344
2646016, 3978795
2650112, 3985176
2654208, 3990798
2658304, 3996984
2662400, 4006020
2666496, 4012371
2670592, 4030137
2674688, 4036116
2678784, 4042515
2682880, 4046634
2686976, 4050543
2691072, 4054704
2695168, 4061025
2699264, 4065090
2703360, 4069098
2707456, 4073172
2711552, 4080465
2715648, 4084569
2719744, 4088550
2723840, 4092942
2727936, 4099869
2732032, 4104102
2736128, 4108632
2740224, 4113171
2744320, 4119687
2748416, 4130886
2752512, 4137174
2756608, 4142766
2760704, 4154103
2764800, 4158846
2768896, 4164768
2772992, 4173003
2777088, 4184694
2781184, 4192002
2785280, 4198371
2789376, 4204173
2793472, 4211097
2797568, 4215306
2801664, 4219554
2805760, 4224222
2809856, 4230336
2813952, 4235133
