Running command - utils/repeat_cmd.sh build/peak_bandwidth 100
Currently in /Users/gigaflower/Desktop/CSE221_project
Running build/peak_bandwidth 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	9618853
2	    	9154309
3	    	9303175
4	    	9251308
5	    	9037006
6	    	9129985
7	    	9094330
8	    	9281134
9	    	9294358
10	    	9716737
11	    	10818166
12	    	9502870
13	    	9032638
14	    	9014026
15	    	9134341
16	    	9044269
17	    	9106468
18	    	9184495
19	    	9134824
20	    	9184552
21	    	9354346
22	    	9068182
23	    	9017980
24	    	9103825
25	    	8926009
26	    	9181231
27	    	9102955
28	    	9135991
29	    	9178951
30	    	9109147
31	    	9035953
32	    	9060229
33	    	9286123
34	    	9224011
35	    	9048319
36	    	9032365
37	    	9228115
38	    	8929024
39	    	9147673
40	    	9258640
41	    	9086716
42	    	9030679
43	    	9137857
44	    	8965654
45	    	9204559
46	    	8872789
47	    	9131227
48	    	9175912
49	    	8968579
50	    	9084337
51	    	9129025
52	    	9269905
53	    	9120511
54	    	9139609
55	    	9164725
56	    	9285775
57	    	8922334
58	    	9081994
59	    	9178318
60	    	8936740
61	    	9059047
62	    	8938261
63	    	9387439
64	    	9071317
65	    	9085807
66	    	9163783
67	    	9044065
68	    	9544123
69	    	8983990
70	    	9242440
71	    	8993431
72	    	9011263
73	    	8307853
74	    	8091145
75	    	9070591
76	    	9060136
77	    	9190279
78	    	9234976
79	    	9024931
80	    	9129991
81	    	9084982
82	    	9090628
83	    	9033610
84	    	9079753
85	    	8998606
86	    	9030559
87	    	9178318
88	    	8943193
89	    	9116785
90	    	9221218
91	    	9068293
92	    	9005599
93	    	9070432
94	    	9041074
95	    	9013849
96	    	8654935
97	    	9078613
98	    	9244849
99	    	9306313
100	    	9078112
Median:9098642
Average:9123287.47
Stddev:260445

Note: bandwidth = (8*1024 - 404)/cycles (KB/cycle)
Median of bandwidth: 2311.07 MB/s
Stddev of bandwidth: 63.78 MB/s
===================================================================
