Running command - ./utils/repeat_cmd.sh ./build/round_trip_time 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/round_trip_time 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	8308606
2	    	7948680
3	    	8421121
4	    	8140210
5	    	8176186
6	    	8222550
7	    	7763321
8	    	8150887
9	    	7862112
10	    	7903518
11	    	8179985
12	    	8015951
13	    	7913041
14	    	7964143
15	    	7992497
16	    	7923988
17	    	7947537
18	    	7822914
19	    	7767315
20	    	7841286
21	    	7762538
22	    	7829120
23	    	8012329
24	    	8375955
25	    	7948407
26	    	7991944
27	    	7828981
28	    	7850378
29	    	8004951
30	    	8461410
31	    	7956906
32	    	8108662
33	    	8037093
34	    	7786176
35	    	7887910
36	    	7857005
37	    	7960079
38	    	8092053
39	    	7988436
40	    	7882080
41	    	8293171
42	    	7943295
43	    	7978367
44	    	8783837
45	    	7807394
46	    	7942534
47	    	8004366
48	    	7755797
49	    	8022106
50	    	7838850
51	    	7752996
52	    	8043736
53	    	7809635
54	    	8149113
55	    	7991063
56	    	7752220
57	    	7901094
58	    	7961061
59	    	7822750
60	    	7788578
61	    	7982895
62	    	7831142
63	    	7891826
64	    	7895655
65	    	7770563
66	    	7814381
67	    	7910899
68	    	7808899
69	    	8055238
70	    	7862252
71	    	7788322
72	    	7925712
73	    	7881896
74	    	7827114
75	    	7965780
76	    	8032437
77	    	7734264
78	    	7984623
79	    	7925349
80	    	7850627
81	    	7816044
82	    	7776548
83	    	7808201
84	    	8397269
85	    	8376341
86	    	7915097
87	    	7939785
88	    	7756050
89	    	7828736
90	    	8115417
91	    	7805056
92	    	8209076
93	    	10126783
94	    	7956925
95	    	8157528
96	    	8393172
97	    	7750948
98	    	8099247
99	    	9480437
100	    	8457186
Median:7942914.00
Average:8011359.44
===================================================================
