Running command - ./utils/repeat_cmd.sh ./build/round_trip_time_remote 100
Currently in /Users/rohitgupta/Desktop/UCSD/quarter_4/cse_221/project/CSE221_project
Running ./build/round_trip_time_remote 100 times to get the median & average.

S.No.	       	Av time (in cycles)
===================================================================
1	    	19866681
2	    	22438794
3	    	19717021
4	    	19652410
5	    	19484149
6	    	19136279
7	    	19697929
8	    	26800940
9	    	20848926
10	    	20066639
11	    	18456560
12	    	19957640
13	    	20318918
14	    	18407955
15	    	19972577
16	    	19448145
17	    	19689064
18	    	18803992
19	    	19567458
20	    	19400194
21	    	19066821
22	    	17855468
23	    	19951589
24	    	19294714
25	    	19915140
26	    	19224691
27	    	19493293
28	    	18882559
29	    	19367390
30	    	19067899
31	    	19255566
32	    	19217459
33	    	18185207
34	    	20043650
35	    	18768507
36	    	18429542
37	    	20212904
38	    	19251153
39	    	18692360
40	    	20131065
41	    	18631698
42	    	18614666
43	    	19496451
44	    	21570662
45	    	19205563
46	    	19638695
47	    	18535201
48	    	19758840
49	    	21286832
50	    	24114477
51	    	19970994
52	    	24565734
53	    	19132592
54	    	20166574
55	    	19394456
56	    	19970054
57	    	18620189
58	    	19000044
59	    	18103205
60	    	19220247
61	    	20718461
62	    	20042895
63	    	25131740
64	    	23107006
65	    	21214012
66	    	18621340
67	    	21498834
68	    	24251556
69	    	19338373
70	    	18603101
71	    	19456700
72	    	18577459
73	    	21068938
74	    	19371378
75	    	20012453
76	    	91598979
77	    	20231316
78	    	18516066
79	    	19033756
80	    	19078012
81	    	18865938
82	    	19609986
83	    	19365342
84	    	19373929
85	    	20552382
86	    	20277752
87	    	19024593
88	    	21921078
89	    	19598030
90	    	19238261
91	    	19353624
92	    	20631074
93	    	20101881
94	    	19216809
95	    	19566757
96	    	20285658
97	    	19048268
98	    	18866780
99	    	21153293
100	    	20000116
Median:19494872.00
Average:20605603.48
===================================================================
