set_nice: pid = 77793, old_priority = 0, new_priority = -20
Block size is 4MB
size(MB), time(ms), bandwidth(GB/s)
1.00, 0.84, 1.19
2.00, 0.83, 2.40
3.00, 0.83, 3.60
4.00, 1.04, 3.84
5.00, 1.81, 2.76
6.00, 1.94, 3.10
7.00, 2.06, 3.40
8.00, 1.97, 4.05
9.00, 3.42, 2.63
10.00, 2.78, 3.59
100.00, 23.61, 4.23
200.00, 47.86, 4.18
300.00, 222.08, 1.35
400.00, 303.50, 1.32
500.00, 341.10, 1.47
600.00, 399.76, 1.50
700.00, 502.56, 1.39
800.00, 477.91, 1.67
900.00, 584.47, 1.54
1024.00, 649.25, 1.58
2048.00, 1279.70, 1.60
3072.00, 1987.45, 1.55
4096.00, 2043.93, 2.00
5000.00, 4568.16, 1.09
5080.00, 4636.15, 1.10
5160.00, 4698.51, 1.10
5240.00, 4764.54, 1.10
5320.00, 4842.32, 1.10
5400.00, 4924.99, 1.10
5480.00, 5010.37, 1.09
5560.00, 5050.14, 1.10
5640.00, 5146.34, 1.10
5720.00, 5218.41, 1.10
5800.00, 5274.30, 1.10
5880.00, 5386.41, 1.09
5960.00, 5501.40, 1.08
6144.00, 5605.48, 1.10
7168.00, 6583.66, 1.09
8192.00, 7504.84, 1.09
