set_nice: pid = 78125, old_priority = 0, new_priority = -20
Block size is 4096B
Readahead is enabled
size(MB), time(ms), bandwidth(GB/s)
1.00, 0.31, 3.22
2.00, 0.77, 2.60
3.00, 1.49, 2.01
4.00, 1.58, 2.53
5.00, 2.24, 2.23
6.00, 3.00, 2.00
7.00, 3.65, 1.92
8.00, 3.71, 2.16
9.00, 5.85, 1.54
10.00, 6.08, 1.65
100.00, 79.60, 1.26
200.00, 174.52, 1.15
300.00, 241.25, 1.24
400.00, 268.54, 1.49
500.00, 432.93, 1.15
600.00, 417.32, 1.44
700.00, 467.67, 1.50
800.00, 531.91, 1.50
900.00, 625.06, 1.44
1024.00, 729.92, 1.40
2048.00, 1427.82, 1.43
3072.00, 2216.55, 1.39
4096.00, 1560.98, 1.33
5000.00, 5713.32, 0.88
5080.00, 5741.72, 0.88
5160.00, 5822.46, 0.89
5240.00, 5915.73, 0.89
5320.00, 6029.46, 0.88
5400.00, 6112.06, 0.88
5480.00, 6194.24, 0.88
5560.00, 6280.92, 0.89
5640.00, 6392.78, 0.88
5720.00, 6440.18, 0.89
5800.00, 6523.60, 0.89
5880.00, 6671.88, 0.88
5960.00, 6792.48, 0.88
6144.00, 7033.47, 0.87
7168.00, 8093.55, 0.89
8192.00, 9334.12, 0.88
